Model,Metric,Value
Basic_nn,RMSE,2.1488948926134097
Basic_nn,MAE,1.6433850172136029
Basic_nn,MAPE,0.0187389519979509
Basic_nn,R2,0.975488556291477
Basic_nn,TIME,0.2825168704986572
Complex_nn,RMSE,2.7638751211116803
Complex_nn,MAE,2.0814228940246644
Complex_nn,MAPE,0.0234946583234193
Complex_nn,R2,0.9594514454299988
Complex_nn,TIME,0.871916675567627
xgb,RMSE,2.441471750357597
xgb,MAE,1.7862196780230994
xgb,MAPE,0.020194890319072
xgb,R2,0.9683596010072308
xgb,TIME,8.439392321109771
rf,RMSE,9.000894270066102
rf,MAE,7.172823322663568
rf,MAPE,0.0842482816482991
rf,R2,0.569958998268652
rf,TIME,6.393065152168274
Baseline,RMSE,2.2547293158142003
Baseline,MAE,1.7329806324653574
Baseline,MAPE,0.01977508823823132
Baseline,R2,0.9730146927393041
Baseline,TIME,0.04904738187789917
